,prim_state,area,area_name,occ_code,occ_titl,tot_emp,a_mean,a_wpct10,a_wpct25,a_median,a_wpct75,a_wpct90,year
19925,CT,3280,"Hartford, CT MSA",15-2031,Operations Research Analysts,         320,    56740,33870,41150,51370,66610,90760,2000
19926,CT,3280,"Hartford, CT MSA",15-2041,Statisticians,         180,    48420,37100,40660,46590,56140,65890,2000
19933,CT,3280,"Hartford, CT MSA",17-2061,Computer Hardware Engineers,         190,    58840,37980,46360,57110,69700,84830,2000
20247,CT,3280,"Hartford, CT MSA",49-2011,"Computer, Automated Teller, and Office Machine Repairers",         870,    39110,24590,31280,39340,46690,54390,2000
20392,CT,5480,"New Haven-Meriden, CT PMSA",11-3021,Computer and Information Systems Managers,         360,    76450,51090,61230,74130,91360,108540,2000
20420,CT,5480,"New Haven-Meriden, CT PMSA",13-1111,Management Analysts,         690,    59550,38740,46620,56480,69370,85540,2000
20442,CT,5480,"New Haven-Meriden, CT PMSA",15-2031,Operations Research Analysts,         110,    50250,33990,40680,49050,56600,74160,2000
20450,CT,5480,"New Haven-Meriden, CT PMSA",17-2061,Computer Hardware Engineers,         130,    78130,62880,69270,78320,87850,96390,2000
20709,CT,5480,"New Haven-Meriden, CT PMSA",49-2011,"Computer, Automated Teller, and Office Machine Repairers",0,    35760,24450,27580,34580,42140,50370,2000
20820,CT,5520,"New London-Norwich, CT-RI MSA",11-3021,Computer and Information Systems Managers,         230,    90830,51190,68620,95400,113640,133640,2000
21079,CT,5520,"New London-Norwich, CT-RI MSA",49-2011,"Computer, Automated Teller, and Office Machine Repairers",          60,    33740,24110,27550,31890,36290,49490,2000
21159,CT,8040,"Stamford-Norwalk, CT PMSA",11-3021,Computer and Information Systems Managers,         980,   100220,65320,82030,101330,122970,145601,2000
21184,CT,8040,"Stamford-Norwalk, CT PMSA",13-1111,Management Analysts,        1420,    77500,41990,52090,68250,101780,138860,2000
21205,CT,8040,"Stamford-Norwalk, CT PMSA",15-2031,Operations Research Analysts,         150,    53930,30650,34510,47940,66030,89620,2000
21210,CT,8040,"Stamford-Norwalk, CT PMSA",17-2061,Computer Hardware Engineers,          90,    71300,42480,60430,71850,86380,98400,2000
21464,CT,8040,"Stamford-Norwalk, CT PMSA",49-2011,"Computer, Automated Teller, and Office Machine Repairers",         150,    38820,24100,30330,39280,47770,54070,2000
21561,CT,8880,"Waterbury, CT PMSA",13-1111,Management Analysts,          40,    59560,46760,50910,57480,66200,75860,2000
21738,CT,8880,"Waterbury, CT PMSA",49-2011,"Computer, Automated Teller, and Office Machine Repairers",         130,    39430,24970,30210,38760,45680,55520,2000
21822,DC,8840,"Washington, DC-MD-VA-WV PMSA",11-3021,Computer and Information Systems Managers,       13910,    87150,56770,71340,86890,105990,125260,2000
21855,DC,8840,"Washington, DC-MD-VA-WV PMSA",13-1111,Management Analysts,       41620,    62770,35080,45570,59870,79220,95890,2000
21881,DC,8840,"Washington, DC-MD-VA-WV PMSA",15-2031,Operations Research Analysts,        4090,    66190,40740,51550,65430,81110,94370,2000
21882,DC,8840,"Washington, DC-MD-VA-WV PMSA",15-2041,Statisticians,        2880,    65590,36770,49240,65020,81000,97660,2000
21893,DC,8840,"Washington, DC-MD-VA-WV PMSA",17-2061,Computer Hardware Engineers,        4060,    66020,44180,52030,64480,79340,92790,2000
22304,DC,8840,"Washington, DC-MD-VA-WV PMSA",49-2011,"Computer, Automated Teller, and Office Machine Repairers",        2220,    33420,22850,25710,31000,38940,48890,2000
22612,DE,2190,"Dover, DE MSA",49-2011,"Computer, Automated Teller, and Office Machine Repairers",          30,    24990,18660,20560,23610,27960,35290,2000
22658,DE,9160,"Wilmington-Newark, DE-MD PMSA",11-3021,Computer and Information Systems Managers,         770,    75050,36140,48440,78570,98230,114320,2000
22684,DE,9160,"Wilmington-Newark, DE-MD PMSA",13-1111,Management Analysts,        1690,    69970,35490,44050,66340,99810,109450,2000
22707,DE,9160,"Wilmington-Newark, DE-MD PMSA",15-2031,Operations Research Analysts,         360,    59130,23480,36900,53270,73070,109420,2000
22708,DE,9160,"Wilmington-Newark, DE-MD PMSA",15-2041,Statisticians,          50,    63370,21740,38450,65830,88070,106800,2000
22716,DE,9160,"Wilmington-Newark, DE-MD PMSA",17-2061,Computer Hardware Engineers,0,    74220,46980,54170,65640,89430,129190,2000
22983,DE,9160,"Wilmington-Newark, DE-MD PMSA",49-2011,"Computer, Automated Teller, and Office Machine Repairers",         490,    27540,13780,19140,24170,34960,45170,2000
23081,FL,2020,"Daytona Beach, FL MSA",11-3021,Computer and Information Systems Managers,         150,    67630,42830,51720,64950,81580,92790,2000
23107,FL,2020,"Daytona Beach, FL MSA",13-1111,Management Analysts,         350,    54140,32860,42000,49500,55480,71320,2000
23359,FL,2020,"Daytona Beach, FL MSA",49-2011,"Computer, Automated Teller, and Office Machine Repairers",0,    23250,18660,19750,21570,23910,33770,2000
23445,FL,2680,"Fort Lauderdale, FL PMSA",11-3021,Computer and Information Systems Managers,        1100,    77820,46340,56280,77260,93900,116970,2000
23472,FL,2680,"Fort Lauderdale, FL PMSA",13-1111,Management Analysts,        2460,    46410,21860,35010,44620,54650,67270,2000
23495,FL,2680,"Fort Lauderdale, FL PMSA",15-2031,Operations Research Analysts,         270,    46230,33720,39930,47460,53210,56650,2000
23496,FL,2680,"Fort Lauderdale, FL PMSA",15-2041,Statisticians,0,    46840,28030,44300,49610,54550,61260,2000
23505,FL,2680,"Fort Lauderdale, FL PMSA",17-2061,Computer Hardware Engineers,         240,    65360,36960,43500,59890,88150,106020,2000
23816,FL,2680,"Fort Lauderdale, FL PMSA",49-2011,"Computer, Automated Teller, and Office Machine Repairers",         970,    32520,19990,23650,32350,40460,45410,2000
23951,FL,2700,"Fort Myers-Cape Coral, FL MSA",11-3021,Computer and Information Systems Managers,         100,    57500,32700,43450,55410,69680,85460,2000
23975,FL,2700,"Fort Myers-Cape Coral, FL MSA",13-1111,Management Analysts,         510,    63820,33610,47130,55690,69640,126140,2000
24231,FL,2700,"Fort Myers-Cape Coral, FL MSA",49-2011,"Computer, Automated Teller, and Office Machine Repairers",0,    31100,19600,23710,29760,36040,47470,2000
24311,FL,2710,"Fort Pierce-Port St. Lucie, FL MSA",11-3021,Computer and Information Systems Managers,          90,    76570,47070,54650,72020,96790,124750,2000
24337,FL,2710,"Fort Pierce-Port St. Lucie, FL MSA",13-1111,Management Analysts,         200,    65480,34720,45730,54410,96820,108420,2000
24354,FL,2710,"Fort Pierce-Port St. Lucie, FL MSA",15-2031,Operations Research Analysts,0,    41870,26140,35180,44850,50960,54520,2000
24554,FL,2710,"Fort Pierce-Port St. Lucie, FL MSA",49-2011,"Computer, Automated Teller, and Office Machine Repairers",          40,    27820,18380,20790,26670,34360,41210,2000
24623,FL,2750,"Fort Walton Beach, FL MSA",11-3021,Computer and Information Systems Managers,         110,    70920,47170,58220,71710,84630,92520,2000
24645,FL,2750,"Fort Walton Beach, FL MSA",13-1111,Management Analysts,         160,    48000,34900,39100,46170,56320,66960,2000
24658,FL,2750,"Fort Walton Beach, FL MSA",15-2031,Operations Research Analysts,          60,    65020,47490,58510,66190,76190,85700,2000
24663,FL,2750,"Fort Walton Beach, FL MSA",17-2061,Computer Hardware Engineers,          30,    62540,40710,48840,61800,75410,88760,2000
24837,FL,2750,"Fort Walton Beach, FL MSA",49-2011,"Computer, Automated Teller, and Office Machine Repairers",          40,    29920,15240,18310,30280,38950,49070,2000
24892,FL,2900,"Gainesville, FL MSA",11-3021,Computer and Information Systems Managers,         110,    67910,41250,53790,68130,84370,96770,2000
24917,FL,2900,"Gainesville, FL MSA",13-1111,Management Analysts,         270,    42010,29450,32110,37910,48810,63790,2000
24933,FL,2900,"Gainesville, FL MSA",15-2031,Operations Research Analysts,          40,    51790,31130,37010,52000,64740,71300,2000
25167,FL,2900,"Gainesville, FL MSA",49-2011,"Computer, Automated Teller, and Office Machine Repairers",         220,    28160,18840,22620,27730,33480,38970,2000
25234,FL,3600,"Jacksonville, FL MSA",11-3021,Computer and Information Systems Managers,        1170,    81070,52270,63500,77780,96410,119370,2000
25264,FL,3600,"Jacksonville, FL MSA",13-1111,Management Analysts,        1710,    49020,30550,36860,47430,59730,70960,2000
25289,FL,3600,"Jacksonville, FL MSA",15-2031,Operations Research Analysts,         240,    45720,29190,36800,44460,53600,64880,2000
25290,FL,3600,"Jacksonville, FL MSA",15-2041,Statisticians,          40,    37180,16260,25500,39070,45600,56340,2000
25299,FL,3600,"Jacksonville, FL MSA",17-2061,Computer Hardware Engineers,          90,    71940,42600,56080,73980,87470,100400,2000
25616,FL,3600,"Jacksonville, FL MSA",49-2011,"Computer, Automated Teller, and Office Machine Repairers",         560,    30820,19270,23790,28630,37150,44740,2000
25746,FL,3980,"Lakeland-Winter Haven, FL MSA",11-3021,Computer and Information Systems Managers,         160,    59100,32680,40700,51570,71610,91190,2000
25772,FL,3980,"Lakeland-Winter Haven, FL MSA",13-1111,Management Analysts,         330,    48310,30540,37150,46220,53920,66130,2000
25790,FL,3980,"Lakeland-Winter Haven, FL MSA",15-2041,Statisticians,0,    39770,18960,23050,28360,46370,82640,2000
26032,FL,3980,"Lakeland-Winter Haven, FL MSA",49-2011,"Computer, Automated Teller, and Office Machine Repairers",         130,    30020,19010,22470,29110,34490,42180,2000
26140,FL,4900,"Melbourne-Titusville-Palm Bay, FL MSA",11-3021,Computer and Information Systems Managers,         240,    80160,46590,53970,70390,101990,145601,2000
26166,FL,4900,"Melbourne-Titusville-Palm Bay, FL MSA",13-1111,Management Analysts,         270,    56410,34120,40310,52550,68270,85410,2000
26186,FL,4900,"Melbourne-Titusville-Palm Bay, FL MSA",15-2031,Operations Research Analysts,0,    53860,39390,45630,51990,60520,69340,2000
26193,FL,4900,"Melbourne-Titusville-Palm Bay, FL MSA",17-2061,Computer Hardware Engineers,0,    63680,50500,57090,64020,70290,74230,2000
26435,FL,4900,"Melbourne-Titusville-Palm Bay, FL MSA",49-2011,"Computer, Automated Teller, and Office Machine Repairers",         280,    27950,18960,21620,26340,33850,40820,2000
26532,FL,5000,"Miami, FL PMSA",11-3021,Computer and Information Systems Managers,        1860,    74970,44340,55710,72650,87930,120170,2000
26562,FL,5000,"Miami, FL PMSA",13-1111,Management Analysts,        3710,    38350,14880,16150,33500,51250,79270,2000
26585,FL,5000,"Miami, FL PMSA",15-2031,Operations Research Analysts,         390,    55400,32990,40420,49350,56960,90580,2000
26586,FL,5000,"Miami, FL PMSA",15-2041,Statisticians,         120,    40950,27400,30490,34660,46080,66010,2000
26595,FL,5000,"Miami, FL PMSA",17-2061,Computer Hardware Engineers,          40,    69860,57130,60690,66630,77320,97360,2000
26955,FL,5000,"Miami, FL PMSA",49-2011,"Computer, Automated Teller, and Office Machine Repairers",        1120,    30790,19670,22530,28380,37170,44070,2000
27107,FL,5345,"Naples, FL MSA",11-3021,Computer and Information Systems Managers,          90,    58980,36890,40230,49360,75280,90720,2000
27126,FL,5345,"Naples, FL MSA",13-1111,Management Analysts,         280,    54530,31830,40850,49430,56490,82220,2000
27321,FL,5345,"Naples, FL MSA",49-2011,"Computer, Automated Teller, and Office Machine Repairers",          60,    29920,20050,22900,29920,35610,41500,2000
27383,FL,5790,"Ocala, FL MSA",11-3021,Computer and Information Systems Managers,          40,    51120,26480,32540,49650,70320,84930,2000
27405,FL,5790,"Ocala, FL MSA",13-1111,Management Analysts,          40,    39230,26560,31230,37550,46240,54730,2000
27662,FL,5960,"Orlando, FL MSA",11-3021,Computer and Information Systems Managers,        1830,    70640,27180,49850,71680,92070,111540,2000
27691,FL,5960,"Orlando, FL MSA",13-1111,Management Analysts,        4700,    58860,30450,35240,48750,86740,106760,2000
27714,FL,5960,"Orlando, FL MSA",15-2031,Operations Research Analysts,         590,    54710,31900,40140,50320,64620,90230,2000
27715,FL,5960,"Orlando, FL MSA",15-2041,Statisticians,          50,    43190,27000,32460,41440,52100,64790,2000
27724,FL,5960,"Orlando, FL MSA",17-2061,Computer Hardware Engineers,         190,    59000,46750,50780,57400,66840,76660,2000
28069,FL,5960,"Orlando, FL MSA",49-2011,"Computer, Automated Teller, and Office Machine Repairers",        1120,    33950,23260,28170,33410,39890,44400,2000
28216,FL,6015,"Panama City, FL MSA",11-3021,Computer and Information Systems Managers,          50,    54330,34990,45770,51440,57750,83180,2000
28238,FL,6015,"Panama City, FL MSA",13-1111,Management Analysts,         130,    52080,38050,45080,50310,55540,66430,2000
28251,FL,6015,"Panama City, FL MSA",15-2031,Operations Research Analysts,          60,    50300,32370,38340,46490,61930,71660,2000
28423,FL,6015,"Panama City, FL MSA",49-2011,"Computer, Automated Teller, and Office Machine Repairers",          90,    23770,15010,18690,23160,28590,34140,2000
28477,FL,6080,"Pensacola, FL MSA",11-3021,Computer and Information Systems Managers,         230,    58820,29230,39390,58190,77140,93610,2000
28504,FL,6080,"Pensacola, FL MSA",13-1111,Management Analysts,         310,    49060,31590,37610,47690,59760,70060,2000
28522,FL,6080,"Pensacola, FL MSA",15-2031,Operations Research Analysts,          50,    48100,20660,24240,41160,70660,86130,2000
28523,FL,6080,"Pensacola, FL MSA",15-2041,Statisticians,0,    23930,15620,22520,24530,26540,27740,2000
28774,FL,6080,"Pensacola, FL MSA",49-2011,"Computer, Automated Teller, and Office Machine Repairers",         200,    27660,17490,21100,27380,33560,38030,2000
28873,FL,6580,"Punta Gorda, FL MSA",13-1111,Management Analysts,          30,    46160,29840,38930,48570,56090,64960,2000
29051,FL,7510,"Sarasota-Bradenton, FL MSA",11-3021,Computer and Information Systems Managers,         350,    70570,36110,46880,68310,88450,113930,2000
29077,FL,7510,"Sarasota-Bradenton, FL MSA",13-1111,Management Analysts,         420,    94150,39840,61280,103830,123490,137970,2000
29097,FL,7510,"Sarasota-Bradenton, FL MSA",15-2031,Operations Research Analysts,          40,    45010,27500,32040,41770,54530,69390,2000
29363,FL,7510,"Sarasota-Bradenton, FL MSA",49-2011,"Computer, Automated Teller, and Office Machine Repairers",         180,    23850,16590,18930,21610,28080,35080,2000
29474,FL,8240,"Tallahassee, FL MSA",11-3021,Computer and Information Systems Managers,         360,    65570,27090,50630,67070,84530,99470,2000
29500,FL,8240,"Tallahassee, FL MSA",13-1111,Management Analysts,        3560,    48090,30040,35310,42570,53460,69850,2000
29521,FL,8240,"Tallahassee, FL MSA",15-2031,Operations Research Analysts,         250,    39000,28120,32610,38420,43240,51710,2000
29522,FL,8240,"Tallahassee, FL MSA",15-2041,Statisticians,          50,    34390,23740,25920,30260,36020,46510,2000
29777,FL,8240,"Tallahassee, FL MSA",49-2011,"Computer, Automated Teller, and Office Machine Repairers",         200,    34720,20690,26850,34120,42230,50750,2000
29846,FL,8280,"Tampa-St. Petersburg-Clearwater, FL MSA",11-3021,Computer and Information Systems Managers,        2310,    79500,45860,60570,77940,94960,121080,2000
29877,FL,8280,"Tampa-St. Petersburg-Clearwater, FL MSA",13-1111,Management Analysts,        3360,    61210,29820,39810,55480,75880,109930,2000
29902,FL,8280,"Tampa-St. Petersburg-Clearwater, FL MSA",15-2031,Operations Research Analysts,        1340,    65740,34600,42800,56330,86890,115740,2000
29903,FL,8280,"Tampa-St. Petersburg-Clearwater, FL MSA",15-2041,Statisticians,         160,    40800,23650,27520,34430,57100,67320,2000
29913,FL,8280,"Tampa-St. Petersburg-Clearwater, FL MSA",17-2061,Computer Hardware Engineers,         350,    66650,39230,47060,63550,84240,104700,2000
30277,FL,8280,"Tampa-St. Petersburg-Clearwater, FL MSA",49-2011,"Computer, Automated Teller, and Office Machine Repairers",        1330,    30440,18830,22980,28040,35940,44550,2000
30429,FL,8960,"West Palm Beach-Boca Raton, FL MSA",11-3021,Computer and Information Systems Managers,         800,    78940,43320,57570,76360,98140,126670,2000
30457,FL,8960,"West Palm Beach-Boca Raton, FL MSA",13-1111,Management Analysts,        1890,    76020,33260,43320,66100,91780,145601,2000
30478,FL,8960,"West Palm Beach-Boca Raton, FL MSA",15-2031,Operations Research Analysts,         100,    45560,30330,36040,43120,52910,63870,2000
30485,FL,8960,"West Palm Beach-Boca Raton, FL MSA",17-2061,Computer Hardware Engineers,0,    73970,48360,56670,69410,92800,110290,2000
30805,FL,8960,"West Palm Beach-Boca Raton, FL MSA",49-2011,"Computer, Automated Teller, and Office Machine Repairers",         250,    32810,21030,26370,32310,39230,45110,2000
30919,GA,120,"Albany, GA MSA",11-3021,Computer and Information Systems Managers,          60,    59850,39060,48250,59470,68990,80010,2000
30939,GA,120,"Albany, GA MSA",13-1111,Management Analysts,          40,    49710,32880,41500,50210,58530,67070,2000
31089,GA,120,"Albany, GA MSA",49-2011,"Computer, Automated Teller, and Office Machine Repairers",0,    34240,15860,17790,33840,49140,54970,2000
31143,GA,500,"Athens, GA MSA",11-3021,Computer and Information Systems Managers,          80,    60730,35480,47710,56990,71460,87940,2000
31341,GA,500,"Athens, GA MSA",49-2011,"Computer, Automated Teller, and Office Machine Repairers",0,    19220,14590,15430,16810,20980,26490,2000
31401,GA,520,"Atlanta, GA MSA",11-3021,Computer and Information Systems Managers,        8740,    87530,56920,68800,86450,107470,131610,2000
31431,GA,520,"Atlanta, GA MSA",13-1111,Management Analysts,        9120,    56520,31190,36720,51260,69890,93450,2000
31456,GA,520,"Atlanta, GA MSA",15-2031,Operations Research Analysts,        2500,    48670,29270,33020,46260,56010,80150,2000
31457,GA,520,"Atlanta, GA MSA",15-2041,Statisticians,         260,    53970,33640,40200,50280,65010,82490,2000
31468,GA,520,"Atlanta, GA MSA",17-2061,Computer Hardware Engineers,        1970,    74610,49280,64220,78730,87810,93450,2000
31845,GA,520,"Atlanta, GA MSA",49-2011,"Computer, Automated Teller, and Office Machine Repairers",        3150,    37320,24060,27460,36040,44590,55060,2000
32035,GA,600,"Augusta-Aiken, GA-SC MSA",13-1111,Management Analysts,          90,    50130,35650,41250,49890,59430,68530,2000
32294,GA,600,"Augusta-Aiken, GA-SC MSA",49-2011,"Computer, Automated Teller, and Office Machine Repairers",          70,    33350,20630,24190,29150,39110,51330,2000
32389,GA,1800,"Columbus, GA-AL MSA",11-3021,Computer and Information Systems Managers,         350,    67400,46280,54090,65750,80970,98480,2000
32412,GA,1800,"Columbus, GA-AL MSA",13-1111,Management Analysts,         290,    46450,27900,33250,47240,55510,69310,2000
32427,GA,1800,"Columbus, GA-AL MSA",15-2031,Operations Research Analysts,          70,    52030,30900,35860,43380,61060,85830,2000
32637,GA,1800,"Columbus, GA-AL MSA",49-2011,"Computer, Automated Teller, and Office Machine Repairers",         120,    29720,16830,23420,27830,34890,42570,2000
32722,GA,4680,"Macon, GA MSA",11-3021,Computer and Information Systems Managers,         180,    74010,45140,58640,69840,92440,112070,2000
32749,GA,4680,"Macon, GA MSA",13-1111,Management Analysts,         380,    48020,31830,38870,47670,56110,67280,2000
32767,GA,4680,"Macon, GA MSA",15-2031,Operations Research Analysts,         110,    59710,39300,48390,61540,69320,81220,2000
33011,GA,4680,"Macon, GA MSA",49-2011,"Computer, Automated Teller, and Office Machine Repairers",         130,    34660,19500,24990,33080,42360,53250,2000
33103,GA,7520,"Savannah, GA MSA",11-3021,Computer and Information Systems Managers,         130,    62550,30120,39080,63300,80710,90710,2000
33128,GA,7520,"Savannah, GA MSA",13-1111,Management Analysts,0,    45670,27890,32480,45230,54610,68420,2000
33146,GA,7520,"Savannah, GA MSA",15-2031,Operations Research Analysts,0,    60370,38140,42660,57520,77790,88320,2000
33372,GA,7520,"Savannah, GA MSA",49-2011,"Computer, Automated Teller, and Office Machine Repairers",         100,    35180,23410,28790,33980,40650,46050,2000
33459,HI,3320,"Honolulu, HI MSA",11-3021,Computer and Information Systems Managers,         760,    68050,46100,50720,61450,83090,104780,2000
33485,HI,3320,"Honolulu, HI MSA",13-1111,Management Analysts,         680,    59370,38350,46860,57840,70640,84480,2000
33506,HI,3320,"Honolulu, HI MSA",15-2031,Operations Research Analysts,0,    50750,36270,45370,49890,54500,66510,2000
33797,HI,3320,"Honolulu, HI MSA",49-2011,"Computer, Automated Teller, and Office Machine Repairers",         580,    32600,19670,22110,32600,40750,44990,2000
33910,IA,1360,"Cedar Rapids, IA MSA",11-3021,Computer and Information Systems Managers,         590,    70610,49830,59150,69450,82590,94630,2000
33935,IA,1360,"Cedar Rapids, IA MSA",13-1111,Management Analysts,         340,    42530,29200,32010,38830,52330,65020,2000
33951,IA,1360,"Cedar Rapids, IA MSA",15-2031,Operations Research Analysts,0,    45580,32330,37650,44330,51750,56440,2000
34141,IA,1360,"Cedar Rapids, IA MSA",49-2011,"Computer, Automated Teller, and Office Machine Repairers",         250,    43960,25630,31710,40160,50240,64370,2000
34218,IA,1960,"Davenport-Moline-Rock Island, IA-IL MSA",11-3021,Computer and Information Systems Managers,         180,    55860,31060,39100,52650,72710,87960,2000
34246,IA,1960,"Davenport-Moline-Rock Island, IA-IL MSA",13-1111,Management Analysts,         260,    55930,38510,47340,57140,65770,70950,2000
34267,IA,1960,"Davenport-Moline-Rock Island, IA-IL MSA",15-2031,Operations Research Analysts,          40,    63050,37870,49810,62160,74550,88050,2000
34514,IA,1960,"Davenport-Moline-Rock Island, IA-IL MSA",49-2011,"Computer, Automated Teller, and Office Machine Repairers",         150,    33000,20340,24590,31540,40960,50410,2000
34623,IA,2120,"Des Moines, IA MSA",11-3021,Computer and Information Systems Managers,         880,    72410,46380,56770,70800,86920,106210,2000
34654,IA,2120,"Des Moines, IA MSA",13-1111,Management Analysts,        1600,    49570,30730,37790,46530,56630,70960,2000
34677,IA,2120,"Des Moines, IA MSA",15-2031,Operations Research Analysts,         230,    39260,27140,30780,35510,44800,56370,2000
34954,IA,2120,"Des Moines, IA MSA",49-2011,"Computer, Automated Teller, and Office Machine Repairers",         350,    30180,21840,24420,28050,36100,42500,2000
35055,IA,2200,"Dubuque, IA MSA",11-3021,Computer and Information Systems Managers,          60,    55110,32400,43400,52420,64360,83850,2000
35222,IA,2200,"Dubuque, IA MSA",49-2011,"Computer, Automated Teller, and Office Machine Repairers",          40,    31820,22360,24940,30630,38320,44180,2000
35276,IA,3500,"Iowa City, IA MSA",11-3021,Computer and Information Systems Managers,         220,    59140,37600,45060,58610,70670,86760,2000
35295,IA,3500,"Iowa City, IA MSA",13-1111,Management Analysts,          80,    47870,20470,35590,49010,62850,73140,2000
35506,IA,7720,"Sioux City, IA-NE MSA",11-3021,Computer and Information Systems Managers,          40,    64670,34070,44880,64040,85860,97090,2000
35529,IA,7720,"Sioux City, IA-NE MSA",13-1111,Management Analysts,          30,    41340,25400,30840,36130,47480,62970,2000
35707,IA,7720,"Sioux City, IA-NE MSA",49-2011,"Computer, Automated Teller, and Office Machine Repairers",         110,    26760,18750,21670,25700,30610,36370,2000
35767,IA,8920,"Waterloo-Cedar Falls, IA MSA",11-3021,Computer and Information Systems Managers,          80,    57910,32190,42130,57340,72040,87760,2000
35791,IA,8920,"Waterloo-Cedar Falls, IA MSA",13-1111,Management Analysts,          40,    46160,33330,37640,42850,51500,62150,2000
35978,IA,8920,"Waterloo-Cedar Falls, IA MSA",49-2011,"Computer, Automated Teller, and Office Machine Repairers",         120,    36110,23580,28000,34050,43110,53570,2000
36047,ID,1080,"Boise City, ID MSA",11-3021,Computer and Information Systems Managers,         440,    71500,40740,51430,68500,88440,112560,2000
36073,ID,1080,"Boise City, ID MSA",13-1111,Management Analysts,         480,    75720,33830,41510,55010,145601,145601,2000
36347,ID,1080,"Boise City, ID MSA",49-2011,"Computer, Automated Teller, and Office Machine Repairers",         410,    34400,22670,26860,32800,40080,49260,2000
36598,IL,1040,"Bloomington-Normal, IL MSA",11-3021,Computer and Information Systems Managers,         190,    83060,49400,59490,75030,109200,143340,2000
36620,IL,1040,"Bloomington-Normal, IL MSA",13-1111,Management Analysts,0,    49920,34020,39730,46620,56530,71060,2000
36636,IL,1040,"Bloomington-Normal, IL MSA",15-2031,Operations Research Analysts,0,    56060,32380,38800,50310,72090,91460,2000
36795,IL,1040,"Bloomington-Normal, IL MSA",49-2011,"Computer, Automated Teller, and Office Machine Repairers",0,    30690,22850,24680,27630,37440,42960,2000
36844,IL,1400,"Champaign-Urbana, IL MSA",11-3021,Computer and Information Systems Managers,          90,    64980,37580,49510,63190,82010,96020,2000
36863,IL,1400,"Champaign-Urbana, IL MSA",13-1111,Management Analysts,0,    59050,34160,41160,52110,69280,98760,2000
36881,IL,1400,"Champaign-Urbana, IL MSA",17-2061,Computer Hardware Engineers,0,    48800,32630,39240,45560,55680,68750,2000
37057,IL,1400,"Champaign-Urbana, IL MSA",49-2011,"Computer, Automated Teller, and Office Machine Repairers",0,    36140,28640,31170,35330,41190,45650,2000
37110,IL,1600,"Chicago, IL PMSA",11-3021,Computer and Information Systems Managers,       10770,    80780,47230,61530,79400,100230,124800,2000
37144,IL,1600,"Chicago, IL PMSA",13-1111,Management Analysts,       11500,    56770,33860,40390,51740,67720,87170,2000
37169,IL,1600,"Chicago, IL PMSA",15-2031,Operations Research Analysts,        1230,    58060,31400,40050,50980,67660,97810,2000
37170,IL,1600,"Chicago, IL PMSA",15-2041,Statisticians,         360,    56300,30120,38970,52720,70590,87940,2000
37180,IL,1600,"Chicago, IL PMSA",17-2061,Computer Hardware Engineers,         840,    63480,38300,47310,59230,75850,93580,2000
37589,IL,1600,"Chicago, IL PMSA",49-2011,"Computer, Automated Teller, and Office Machine Repairers",        3770,    32180,22730,24920,29160,38300,47170,2000
37772,IL,2040,"Decatur, IL MSA",11-3021,Computer and Information Systems Managers,          50,    67790,31030,44520,65210,91050,111560,2000
37791,IL,2040,"Decatur, IL MSA",13-1111,Management Analysts,          40,    45620,25420,30470,44220,60370,69950,2000
37984,IL,3740,"Kankakee, IL PMSA",11-3021,Computer and Information Systems Managers,          50,    72770,24110,55900,74940,89040,122970,2000
38186,IL,6120,"Peoria-Pekin, IL MSA",11-3021,Computer and Information Systems Managers,         210,    64610,31980,46630,63670,81450,98430,2000
38212,IL,6120,"Peoria-Pekin, IL MSA",13-1111,Management Analysts,          50,    48290,35720,39700,45800,53960,64630,2000
38461,IL,6120,"Peoria-Pekin, IL MSA",49-2011,"Computer, Automated Teller, and Office Machine Repairers",         140,    38130,23240,29750,38790,46730,53500,2000
38557,IL,6880,"Rockford, IL MSA",11-3021,Computer and Information Systems Managers,         210,    64680,40330,53170,64770,74150,89770,2000
38583,IL,6880,"Rockford, IL MSA",13-1111,Management Analysts,         170,    51610,33560,39690,48260,59300,72230,2000
38599,IL,6880,"Rockford, IL MSA",15-2031,Operations Research Analysts,          50,    55110,33520,39250,45840,58620,102270,2000
38822,IL,6880,"Rockford, IL MSA",49-2011,"Computer, Automated Teller, and Office Machine Repairers",         140,    29890,21770,23990,27230,33650,44210,2000
38923,IL,7880,"Springfield, IL MSA",11-3021,Computer and Information Systems Managers,         160,    75840,36870,50250,68900,101610,139970,2000
38945,IL,7880,"Springfield, IL MSA",13-1111,Management Analysts,         370,    48330,32480,39410,46970,54830,67680,2000
39152,IL,7880,"Springfield, IL MSA",49-2011,"Computer, Automated Teller, and Office Machine Repairers",0,    41330,26370,31340,40090,51050,60720,2000
39206,IN,1020,"Bloomington, IN MSA",11-3021,Computer and Information Systems Managers,          60,    60620,31610,41090,59330,80840,93920,2000
39223,IN,1020,"Bloomington, IN MSA",13-1111,Management Analysts,0,    87750,38410,92610,102300,110590,115590,2000
39389,IN,1020,"Bloomington, IN MSA",49-2011,"Computer, Automated Teller, and Office Machine Repairers",          50,    29470,17520,24330,30160,34240,40900,2000
39433,IN,2330,"Elkhart-Goshen, IN MSA",11-3021,Computer and Information Systems Managers,         120,    62030,36630,47730,63240,78730,88430,2000
39457,IN,2330,"Elkhart-Goshen, IN MSA",13-1111,Management Analysts,          50,    40120,16450,20170,34190,51230,60940,2000
